,Assists,Clean_Sheet,xA,xG,xGC,Goals_Conceded,Goals_Scored,Minutes,Own_Goals,Penalites_Missed,Red_Cards,Points,Yellow_Cards,Firstname,Lastname,Fixture_Rating,Delta_Goals,Delta_Assists,Delta_Goals_Conceded,Next_Points,Running_Assists,Running_Clean_Sheet,Running_xA,Running_xG,Running_xGC,Running_Goals_Conceded,Running_Goals_Scored,Running_Minutes,Running_Own_Goals,Running_Penalites_Missed,Running_Red_Cards,Running_Points,Running_Yellow_Cards,Running_Fixture_Rating,Running_Delta_Goals,Running_Delta_Assists,Running_Delta_Goals_Conceded,Running_Next_Points
15,0,1,0.01,0.2,0.93,0,1,90,0,0,0,10,0,Abdoulaye,Doucoure,4,0.8,-0.01,0.93,1.0,0.0,0.75,0.04499999999999999,0.2575,1.35,0.75,0.5,89.75,0.0,0.0,0.0,5.75,0.25,3.5,0.24250000000000002,-0.045,0.6000000000000001,5.75
16,0,0,0.01,0.0,0.48,0,0,45,0,0,0,1,0,Abdoulaye,Doucoure,2,0.0,-0.01,0.48,0.0,0.0,0.75,0.019999999999999997,0.1925,0.925,0.0,0.5,78.75,0.0,0.0,0.0,5.75,0.0,3.0,0.3075,-0.02,0.925,5.0
17,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Abdoulaye,Doucoure,5,0.0,0.0,0.0,0.0,0.0,0.5,0.012499999999999997,0.1925,0.7475,0.0,0.5,56.25,0.0,0.0,0.0,5.0,0.0,3.75,0.3075,-0.0125,0.7475,2.75
18,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Abdoulaye,Doucoure,5,0.0,0.0,0.0,0.0,0.0,0.25,0.004999999999999997,0.05,0.35250000000000004,0.0,0.25,33.75,0.0,0.0,0.0,2.75,0.0,4.0,0.2,-0.005,0.35250000000000004,0.25
19,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Abdoulaye,Doucoure,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0024999999999999966,0.0,0.12,0.0,0.0,11.25,0.0,0.0,0.0,0.25,0.0,3.75,0.0,-0.0025,0.12,0.75
20,0,1,0.01,0.04,1.11,0,0,90,0,0,0,3,0,Abdoulaye,Doucoure,5,-0.04,-0.01,1.11,0.0,0.0,0.25,0.0024999999999999966,0.01,0.2775,0.0,0.0,22.5,0.0,0.0,0.0,0.75,0.0,4.5,-0.01,-0.0025,0.2775,0.75
21,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Abdoulaye,Doucoure,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0024999999999999966,0.01,0.2775,0.0,0.0,22.5,0.0,0.0,0.0,0.75,0.0,4.0,-0.01,-0.0025,0.2775,0.75
22,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Abdoulaye,Doucoure,5,0.0,0.0,0.0,0.0,0.0,0.25,0.0024999999999999966,0.01,0.2775,0.0,0.0,22.5,0.0,0.0,0.0,0.75,0.0,4.0,-0.01,-0.0025,0.2775,0.75
23,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Abdoulaye,Doucoure,5,0.0,0.0,0.0,2.0,0.0,0.25,0.0024999999999999966,0.01,0.2775,0.0,0.0,22.5,0.0,0.0,0.0,0.75,0.0,4.5,-0.01,-0.0025,0.2775,0.5
24,0,0,0.01,0.4,0.57,1,0,71,0,0,0,2,0,Abdoulaye,Doucoure,4,-0.4,-0.01,-0.43000000000000005,3.0,0.0,0.0,0.0024999999999999966,0.1,0.1425,0.25,0.0,17.75,0.0,0.0,0.0,0.5,0.0,4.25,-0.1,-0.0025,-0.10750000000000001,1.25
25,0,1,0.0,0.05,1.04,0,0,88,0,0,0,3,0,Abdoulaye,Doucoure,3,-0.05,0.0,1.04,2.0,0.0,0.25,0.0024999999999999966,0.1125,0.40249999999999997,0.25,0.0,39.75,0.0,0.0,0.0,1.25,0.0,4.25,-0.1125,-0.0025,0.1525,1.75
26,0,0,0.03,0.25,1.28,2,0,90,0,0,0,2,0,Abdoulaye,Doucoure,4,-0.25,-0.03,-0.72,1.0,0.0,0.25,0.009999999999999997,0.175,0.7224999999999999,0.75,0.0,62.25,0.0,0.0,0.0,1.75,0.0,4.0,-0.175,-0.01,-0.027499999999999997,2.0
27,0,0,0.01,0.17,2.21,2,0,60,0,0,0,1,1,Abdoulaye,Doucoure,4,-0.17,-0.01,0.20999999999999996,2.0,0.0,0.25,0.012499999999999997,0.2175,1.275,1.25,0.0,77.25,0.0,0.0,0.0,2.0,0.25,3.75,-0.2175,-0.0125,0.024999999999999994,2.0
28,0,0,0.13,0.0,1.56,1,0,71,0,0,0,2,0,Abdoulaye,Doucoure,3,0.0,-0.13,0.56,1.0,0.0,0.25,0.042499999999999996,0.1175,1.5225,1.25,0.0,77.25,0.0,0.0,0.0,2.0,0.25,3.5,-0.1175,-0.0425,0.2725,1.5
29,0,0,0.02,0.17,1.42,1,0,59,0,0,0,1,0,Abdoulaye,Doucoure,4,-0.17,-0.02,0.41999999999999993,3.0,0.0,0.0,0.047499999999999994,0.14750000000000002,1.6175000000000002,1.5,0.0,70.0,0.0,0.0,0.0,1.5,0.25,3.75,-0.14750000000000002,-0.0475,0.1175,1.75
30,0,1,0.04,0.05,0.46,0,0,90,0,0,0,3,0,Abdoulaye,Doucoure,2,-0.05,-0.04,0.46,2.0,0.0,0.25,0.049999999999999996,0.0975,1.4125,1.0,0.0,70.0,0.0,0.0,0.0,1.75,0.25,3.25,-0.0975,-0.05,0.4125,2.0
31,0,0,0.02,0.0,2.96,6,0,90,0,0,0,2,0,Abdoulaye,Doucoure,4,0.0,-0.02,-3.04,5.0,0.0,0.25,0.05249999999999999,0.05500000000000001,1.6,2.0,0.0,77.5,0.0,0.0,0.0,2.0,0.0,3.25,-0.05500000000000001,-0.0525,-0.4,2.75
32,1,1,0.01,0.0,0.85,0,0,90,0,0,0,5,1,Abdoulaye,Doucoure,2,0.0,0.99,0.85,3.0,0.25,0.5,0.022499999999999992,0.05500000000000001,1.4224999999999999,1.75,0.0,82.25,0.0,0.0,0.0,2.75,0.25,3.0,-0.05500000000000001,0.2275,-0.3275,3.25
33,0,1,0.13,0.14,2.06,0,0,90,0,0,0,3,0,Abdoulaye,Doucoure,5,-0.14,-0.13,2.06,3.0,0.25,0.75,0.04999999999999999,0.04750000000000001,1.5825,1.5,0.0,90.0,0.0,0.0,0.0,3.25,0.25,3.25,-0.04750000000000001,0.2,0.08250000000000002,3.25
34,0,1,0.06,0.14,0.84,0,0,90,0,0,0,3,0,Abdoulaye,Doucoure,2,-0.14,-0.06,0.84,1.0,0.25,0.75,0.05499999999999999,0.07,1.6775,1.5,0.0,90.0,0.0,0.0,0.0,3.25,0.25,3.25,-0.07,0.195,0.1775,3.0
35,0,0,0.01,0.04,0.56,1,0,53,0,0,0,1,0,Abdoulaye,Doucoure,2,-0.04,-0.01,-0.43999999999999995,8.0,0.25,0.75,0.05249999999999999,0.08,1.0775000000000001,0.25,0.0,80.75,0.0,0.0,0.0,3.0,0.25,2.75,-0.08,0.1975,0.8275,3.75
36,0,1,0.05,1.63,0.35,0,1,68,0,0,0,8,0,Abdoulaye,Doucoure,2,-0.6299999999999999,-0.05,0.35,1.0,0.0,0.75,0.062499999999999986,0.4875,0.9525,0.25,0.25,75.25,0.0,0.0,0.0,3.75,0.0,2.75,-0.2375,-0.0625,0.7025,3.25
37,0,0,0.02,0.0,2.76,2,0,90,0,0,0,1,1,Abdoulaye,Doucoure,5,0.0,-0.02,0.7599999999999998,,0.0,0.5,0.03499999999999999,0.4525,1.1275,0.75,0.25,75.25,0.0,0.0,0.0,3.25,0.25,2.75,-0.20249999999999999,-0.035,0.37749999999999995,3.3333333333333335
0,0,1,0.04,0.12,1.19,0,0,67,0,0,0,3,0,Alejandro,Garnacho,3,-0.12,-0.04,1.19,2.0,0.0,1.0,0.04,0.12,1.19,0.0,0.0,67.0,0.0,0.0,0.0,3.0,0.0,3.0,-0.12,-0.04,1.19,2.0
1,0,0,0.05,0.21,1.25,1,0,65,0,0,0,2,0,Alejandro,Garnacho,5,-0.21,-0.05,0.25,0.0,0.0,0.5,0.045,0.16499999999999998,1.22,0.5,0.0,66.0,0.0,0.0,0.0,2.5,0.0,4.0,-0.16499999999999998,-0.045,0.72,1.0
2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Alejandro,Garnacho,2,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.03,0.10999999999999999,0.8133333333333334,0.3333333333333333,0.0,44.0,0.0,0.0,0.0,1.6666666666666667,0.0,3.3333333333333335,-0.10999999999999999,-0.03,0.48,1.0
3,0,0,0.0,0.0,0.74,2,0,6,0,0,0,1,0,Alejandro,Garnacho,5,0.0,0.0,-1.26,1.0,0.0,0.25,0.0225,0.08249999999999999,0.7949999999999999,0.75,0.0,34.5,0.0,0.0,0.0,1.5,0.0,3.75,-0.08249999999999999,-0.0225,0.044999999999999984,1.0
4,0,0,0.0,0.0,0.74,0,0,5,0,0,0,1,0,Alejandro,Garnacho,3,0.0,0.0,0.74,0.0,0.0,0.0,0.0125,0.0525,0.6825,0.75,0.0,19.0,0.0,0.0,0.0,1.0,0.0,3.75,-0.0525,-0.0125,-0.0675,0.5
5,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Alejandro,Garnacho,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.37,0.5,0.0,2.75,0.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,-0.13,0.75
6,0,0,0.02,0.26,0.49,0,0,29,0,0,0,1,0,Alejandro,Garnacho,4,-0.26,-0.02,0.49,1.0,0.0,0.0,0.005,0.065,0.4925,0.5,0.0,10.0,0.0,0.0,0.0,0.75,0.0,3.5,-0.065,-0.005,-0.007500000000000007,0.75
7,0,0,0.05,0.05,0.25,0,0,27,0,0,0,1,0,Alejandro,Garnacho,2,-0.05,-0.05,0.25,1.0,0.0,0.0,0.0175,0.0775,0.37,0.0,0.0,15.25,0.0,0.0,0.0,0.75,0.0,2.75,-0.0775,-0.0175,0.37,0.75
8,0,0,0.01,0.07,0.05,0,0,26,0,0,0,1,0,Alejandro,Garnacho,2,-0.07,-0.01,0.05,1.0,0.0,0.0,0.02,0.095,0.1975,0.0,0.0,20.5,0.0,0.0,0.0,0.75,0.0,2.5,-0.095,-0.02,0.1975,1.0
9,0,0,0.0,0.0,1.15,1,0,17,0,0,0,1,0,Alejandro,Garnacho,5,0.0,0.0,0.1499999999999999,2.0,0.0,0.0,0.02,0.095,0.485,0.25,0.0,24.75,0.0,0.0,0.0,1.0,0.0,3.25,-0.095,-0.02,0.235,1.25
10,0,1,0.11,0.06,1.01,0,0,90,0,0,0,2,1,Alejandro,Garnacho,3,-0.06,-0.11,1.01,3.0,0.0,0.25,0.042499999999999996,0.045,0.615,0.25,0.0,40.0,0.0,0.0,0.0,1.25,0.25,3.0,-0.045,-0.042499999999999996,0.365,1.75
11,0,1,0.04,0.08,0.35,0,0,67,0,0,0,3,0,Alejandro,Garnacho,2,-0.08,-0.04,0.35,8.0,0.0,0.5,0.04,0.052500000000000005,0.64,0.25,0.0,50.0,0.0,0.0,0.0,1.75,0.25,3.0,-0.052500000000000005,-0.04,0.39,3.5
12,0,1,0.0,0.36,1.58,0,1,71,0,0,0,8,0,Alejandro,Garnacho,3,0.64,0.0,1.58,2.0,0.0,0.75,0.0375,0.125,1.0225,0.25,0.25,61.25,0.0,0.0,0.0,3.5,0.25,3.25,0.125,-0.0375,0.7725,3.75
13,0,0,0.01,0.06,2.65,1,0,90,0,0,0,2,0,Alejandro,Garnacho,4,-0.06,-0.01,1.65,4.0,0.0,0.75,0.039999999999999994,0.14,1.3975,0.25,0.25,79.5,0.0,0.0,0.0,3.75,0.25,3.0,0.11,-0.039999999999999994,1.1475,4.25
14,1,0,0.31,0.72,1.4,1,0,90,0,0,0,4,1,Alejandro,Garnacho,4,-0.72,0.69,0.3999999999999999,2.0,0.25,0.5,0.09,0.305,1.495,0.5,0.25,79.5,0.0,0.0,0.0,4.25,0.25,3.25,-0.05499999999999999,0.15999999999999998,0.9950000000000001,4.0
15,0,0,0.07,0.1,1.06,3,0,78,0,0,0,2,0,Alejandro,Garnacho,3,-0.1,-0.07,-1.94,3.0,0.25,0.25,0.0975,0.31000000000000005,1.6725,1.25,0.25,82.25,0.0,0.0,0.0,4.0,0.25,3.5,-0.05999999999999999,0.15249999999999997,0.42250000000000004,2.75
